Experiment_Type,Scale,Type,Error_Percentage,Trial,Hit_Count,Total_Points,Predicted_Area_km2,Hit_Rate_Percent,Area_Percent,PAI,TP,FP,TN,FN,Accuracy,Precision,Recall,F1_Score
N/A,N/A,Deletion,5,2,478,1397,8.4675,34.2162,4.7755,7.1650,3340,47,162685,92,0.9992,0.9861,0.9732,0.9796
Linear,Street,Center,5,2,468,1397,8.6050,33.5004,4.8530,6.9030,3332,110,162622,100,0.9987,0.9680,0.9709,0.9695
Linear,Street,Random,5,2,481,1397,8.6100,34.4309,4.8558,7.0906,3354,90,162642,78,0.9990,0.9739,0.9773,0.9756
Areal,Tract,Center,5,2,462,1397,8.5325,33.0709,4.8121,6.8724,3332,81,162651,100,0.9989,0.9763,0.9709,0.9736
Areal,Tract,Random,5,2,468,1397,8.5925,33.5004,4.8460,6.9130,3363,74,162658,69,0.9991,0.9785,0.9799,0.9792
Areal,Neighborhood,Center,5,2,461,1397,8.2325,32.9993,4.6429,7.1074,3170,123,162609,262,0.9977,0.9626,0.9237,0.9428
Areal,Neighborhood,Random,5,2,472,1397,8.6125,33.7867,4.8573,6.9559,3351,94,162638,81,0.9989,0.9727,0.9764,0.9746
Areal,Grid_100,Center,5,2,475,1397,8.5750,34.0014,4.8361,7.0307,3417,13,162719,15,0.9998,0.9962,0.9956,0.9959
Areal,Grid_100,Random,5,2,477,1397,8.5750,34.1446,4.8361,7.0603,3414,16,162716,18,0.9998,0.9953,0.9948,0.9950
Areal,Grid_300,Center,5,2,467,1397,8.5500,33.4288,4.8220,6.9325,3390,30,162702,42,0.9996,0.9912,0.9878,0.9895
Areal,Grid_300,Random,5,2,474,1397,8.5675,33.9298,4.8319,7.0221,3384,43,162689,48,0.9995,0.9875,0.9860,0.9867
Areal,Grid_500,Center,5,2,484,1397,8.6425,34.6457,4.8742,7.1080,3390,67,162665,42,0.9993,0.9806,0.9878,0.9842
Areal,Grid_500,Random,5,2,477,1397,8.6125,34.1446,4.8573,7.0296,3361,84,162648,71,0.9991,0.9756,0.9793,0.9775
N/A,N/A,Deletion,5,3,481,1397,8.6025,34.4309,4.8516,7.0968,3355,86,162646,77,0.9990,0.9750,0.9776,0.9763
Linear,Street,Center,5,3,479,1397,8.5800,34.2878,4.8389,7.0858,3322,110,162622,110,0.9987,0.9679,0.9679,0.9679
Linear,Street,Random,5,3,491,1397,8.6350,35.1467,4.8699,7.2171,3344,110,162622,88,0.9988,0.9682,0.9744,0.9712
Areal,Tract,Center,5,3,467,1397,8.5850,33.4288,4.8417,6.9043,3347,87,162645,85,0.9990,0.9747,0.9752,0.9749
Areal,Tract,Random,5,3,475,1397,8.7250,34.0014,4.9207,6.9099,3371,119,162613,61,0.9989,0.9659,0.9822,0.9740
Areal,Neighborhood,Center,5,3,467,1397,8.3550,33.4288,4.7120,7.0943,3216,126,162606,216,0.9979,0.9623,0.9371,0.9495
Areal,Neighborhood,Random,5,3,484,1397,8.6875,34.6457,4.8996,7.0712,3356,119,162613,76,0.9988,0.9658,0.9779,0.9718
Areal,Grid_100,Center,5,3,476,1397,8.5700,34.0730,4.8333,7.0497,3414,14,162718,18,0.9998,0.9959,0.9948,0.9953
Areal,Grid_100,Random,5,3,474,1397,8.5700,33.9298,4.8333,7.0200,3407,21,162711,25,0.9997,0.9939,0.9927,0.9933
Areal,Grid_300,Center,5,3,475,1397,8.6150,34.0014,4.8587,6.9981,3397,49,162683,35,0.9995,0.9858,0.9898,0.9878
Areal,Grid_300,Random,5,3,478,1397,8.6425,34.2162,4.8742,7.0199,3391,66,162666,41,0.9994,0.9809,0.9881,0.9845
Areal,Grid_500,Center,5,3,480,1397,8.7300,34.3593,4.9235,6.9786,3383,109,162623,49,0.9990,0.9688,0.9857,0.9772
Areal,Grid_500,Random,5,3,480,1397,8.7400,34.3593,4.9292,6.9706,3372,124,162608,60,0.9989,0.9645,0.9825,0.9734
N/A,N/A,Deletion,5,4,467,1397,8.5000,33.4288,4.7938,6.9733,3331,69,162663,101,0.9990,0.9797,0.9706,0.9751
Linear,Street,Center,5,4,464,1397,8.5975,33.2140,4.8488,6.8500,3313,126,162606,119,0.9985,0.9634,0.9653,0.9643
Linear,Street,Random,5,4,456,1397,8.6975,32.6414,4.9052,6.6545,3364,115,162617,68,0.9989,0.9669,0.9802,0.9735
Areal,Tract,Center,5,4,456,1397,8.4950,32.6414,4.7910,6.8131,3315,83,162649,117,0.9988,0.9756,0.9659,0.9707
Areal,Tract,Random,5,4,460,1397,8.6025,32.9277,4.8516,6.7870,3348,93,162639,84,0.9989,0.9730,0.9755,0.9742
Areal,Neighborhood,Center,5,4,460,1397,8.3900,32.9277,4.7318,6.9589,3207,149,162583,225,0.9977,0.9556,0.9344,0.9449
Areal,Neighborhood,Random,5,4,468,1397,8.6450,33.5004,4.8756,6.8710,3325,133,162599,107,0.9986,0.9615,0.9688,0.9652
Areal,Grid_100,Center,5,4,475,1397,8.5800,34.0014,4.8389,7.0266,3417,15,162717,15,0.9998,0.9956,0.9956,0.9956
Areal,Grid_100,Random,5,4,475,1397,8.5525,34.0014,4.8234,7.0492,3409,12,162720,23,0.9998,0.9965,0.9933,0.9949
Areal,Grid_300,Center,5,4,470,1397,8.5650,33.6435,4.8305,6.9649,3383,43,162689,49,0.9994,0.9874,0.9857,0.9866
Areal,Grid_300,Random,5,4,469,1397,8.5600,33.5719,4.8276,6.9541,3373,51,162681,59,0.9993,0.9851,0.9828,0.9840
Areal,Grid_500,Center,5,4,482,1397,8.6800,34.5025,4.8953,7.0481,3382,90,162642,50,0.9992,0.9741,0.9854,0.9797
Areal,Grid_500,Random,5,4,476,1397,8.5925,34.0730,4.8460,7.0312,3366,71,162661,66,0.9992,0.9793,0.9808,0.9801
N/A,N/A,Deletion,5,5,484,1397,8.6700,34.6457,4.8897,7.0855,3374,94,162638,58,0.9991,0.9729,0.9831,0.9780
Linear,Street,Center,5,5,471,1397,8.6675,33.7151,4.8883,6.8971,3338,129,162603,94,0.9987,0.9628,0.9726,0.9677
Linear,Street,Random,5,5,478,1397,8.7575,34.2162,4.9390,6.9277,3369,134,162598,63,0.9988,0.9617,0.9816,0.9716
Areal,Tract,Center,5,5,467,1397,8.5400,33.4288,4.8164,6.9407,3340,76,162656,92,0.9990,0.9778,0.9732,0.9755
Areal,Tract,Random,5,5,479,1397,8.6475,34.2878,4.8770,7.0305,3361,98,162634,71,0.9990,0.9717,0.9793,0.9755
Areal,Neighborhood,Center,5,5,465,1397,8.4075,33.2856,4.7416,7.0199,3223,140,162592,209,0.9979,0.9584,0.9391,0.9486
Areal,Neighborhood,Random,5,5,481,1397,8.6850,34.4309,4.8981,7.0294,3350,124,162608,82,0.9988,0.9643,0.9761,0.9702
Areal,Grid_100,Center,5,5,475,1397,8.5675,34.0014,4.8319,7.0369,3419,8,162724,13,0.9999,0.9977,0.9962,0.9969
Areal,Grid_100,Random,5,5,475,1397,8.5800,34.0014,4.8389,7.0266,3417,15,162717,15,0.9998,0.9956,0.9956,0.9956
Areal,Grid_300,Center,5,5,471,1397,8.6325,33.7151,4.8685,6.9251,3402,51,162681,30,0.9995,0.9852,0.9913,0.9882
Areal,Grid_300,Random,5,5,479,1397,8.6500,34.2878,4.8784,7.0285,3401,59,162673,31,0.9995,0.9829,0.9910,0.9869
Areal,Grid_500,Center,5,5,478,1397,8.6825,34.2162,4.8967,6.9876,3390,83,162649,42,0.9992,0.9761,0.9878,0.9819
Areal,Grid_500,Random,5,5,473,1397,8.7275,33.8583,4.9221,6.8788,3382,109,162623,50,0.9990,0.9688,0.9854,0.9770
N/A,N/A,Deletion,5,6,480,1397,8.6750,34.3593,4.8925,7.0229,3374,96,162636,58,0.9991,0.9723,0.9831,0.9777
Linear,Street,Center,5,6,468,1397,8.6725,33.5004,4.8911,6.8493,3343,126,162606,89,0.9987,0.9637,0.9741,0.9688
Linear,Street,Random,5,6,467,1397,8.7550,33.4288,4.9376,6.7702,3365,137,162595,67,0.9988,0.9609,0.9805,0.9706
Areal,Tract,Center,5,6,455,1397,8.5475,32.5698,4.8206,6.7564,3338,81,162651,94,0.9989,0.9763,0.9726,0.9745
Areal,Tract,Random,5,6,454,1397,8.6425,32.4982,4.8742,6.6674,3364,93,162639,68,0.9990,0.9731,0.9802,0.9766
Areal,Neighborhood,Center,5,6,459,1397,8.4000,32.8561,4.7374,6.9355,3241,119,162613,191,0.9981,0.9646,0.9443,0.9544
Areal,Neighborhood,Random,5,6,463,1397,8.7375,33.1424,4.9278,6.7257,3342,153,162579,90,0.9985,0.9562,0.9738,0.9649
Areal,Grid_100,Center,5,6,476,1397,8.5850,34.0730,4.8417,7.0373,3422,12,162720,10,0.9999,0.9965,0.9971,0.9968
Areal,Grid_100,Random,5,6,475,1397,8.5625,34.0014,4.8291,7.0410,3417,8,162724,15,0.9999,0.9977,0.9956,0.9966
Areal,Grid_300,Center,5,6,466,1397,8.5525,33.3572,4.8234,6.9157,3387,34,162698,45,0.9995,0.9901,0.9869,0.9885
Areal,Grid_300,Random,5,6,467,1397,8.5550,33.4288,4.8248,6.9285,3385,37,162695,47,0.9995,0.9892,0.9863,0.9877
Areal,Grid_500,Center,5,6,473,1397,8.7125,33.8583,4.9137,6.8907,3391,94,162638,41,0.9992,0.9730,0.9881,0.9805
Areal,Grid_500,Random,5,6,473,1397,8.7625,33.8583,4.9419,6.8513,3389,116,162616,43,0.9990,0.9669,0.9875,0.9771
N/A,N/A,Deletion,5,7,465,1397,8.3600,33.2856,4.7149,7.0597,3289,55,162677,143,0.9988,0.9836,0.9583,0.9708
Linear,Street,Center,5,7,463,1397,8.4075,33.1424,4.7416,6.9897,3243,120,162612,189,0.9981,0.9643,0.9449,0.9545
Linear,Street,Random,5,7,462,1397,8.4475,33.0709,4.7642,6.9415,3307,72,162660,125,0.9988,0.9787,0.9636,0.9711
Areal,Tract,Center,5,7,460,1397,8.5375,32.9277,4.8150,6.8386,3307,108,162624,125,0.9986,0.9684,0.9636,0.9660
Areal,Tract,Random,5,7,463,1397,8.4875,33.1424,4.7868,6.9238,3311,84,162648,121,0.9988,0.9753,0.9647,0.9700
Areal,Neighborhood,Center,5,7,461,1397,8.3425,32.9993,4.7050,7.0137,3162,175,162557,270,0.9973,0.9476,0.9213,0.9343
Areal,Neighborhood,Random,5,7,468,1397,8.4750,33.5004,4.7797,7.0089,3285,105,162627,147,0.9985,0.9690,0.9572,0.9631
Areal,Grid_100,Center,5,7,475,1397,8.5525,34.0014,4.8234,7.0492,3410,11,162721,22,0.9998,0.9968,0.9936,0.9952
Areal,Grid_100,Random,5,7,468,1397,8.5625,33.5004,4.8291,6.9372,3408,17,162715,24,0.9998,0.9950,0.9930,0.9940
Areal,Grid_300,Center,5,7,468,1397,8.5200,33.5004,4.8051,6.9719,3367,41,162691,65,0.9994,0.9880,0.9811,0.9845
Areal,Grid_300,Random,5,7,468,1397,8.5225,33.5004,4.8065,6.9698,3359,50,162682,73,0.9993,0.9853,0.9787,0.9820
Areal,Grid_500,Center,5,7,471,1397,8.6625,33.7151,4.8855,6.9011,3380,85,162647,52,0.9992,0.9755,0.9848,0.9801
Areal,Grid_500,Random,5,7,474,1397,8.7000,33.9298,4.9066,6.9151,3374,106,162626,58,0.9990,0.9695,0.9831,0.9763
N/A,N/A,Deletion,5,8,474,1397,8.5675,33.9298,4.8319,7.0221,3351,76,162656,81,0.9991,0.9778,0.9764,0.9771
Linear,Street,Center,5,8,463,1397,8.4975,33.1424,4.7924,6.9156,3302,97,162635,130,0.9986,0.9715,0.9621,0.9668
Linear,Street,Random,5,8,485,1397,8.6900,34.7173,4.9010,7.0838,3348,128,162604,84,0.9987,0.9632,0.9755,0.9693
Areal,Tract,Center,5,8,466,1397,8.4950,33.3572,4.7910,6.9625,3338,60,162672,94,0.9991,0.9823,0.9726,0.9775
Areal,Tract,Random,5,8,468,1397,8.6125,33.5004,4.8573,6.8970,3361,84,162648,71,0.9991,0.9756,0.9793,0.9775
Areal,Neighborhood,Center,5,8,459,1397,8.2975,32.8561,4.6796,7.0211,3207,112,162620,225,0.9980,0.9663,0.9344,0.9501
Areal,Neighborhood,Random,5,8,469,1397,8.6625,33.5719,4.8855,6.8718,3355,110,162622,77,0.9989,0.9683,0.9776,0.9729
Areal,Grid_100,Center,5,8,475,1397,8.5925,34.0014,4.8460,7.0164,3419,18,162714,13,0.9998,0.9948,0.9962,0.9955
Areal,Grid_100,Random,5,8,477,1397,8.6025,34.1446,4.8516,7.0378,3415,26,162706,17,0.9997,0.9924,0.9950,0.9937
Areal,Grid_300,Center,5,8,467,1397,8.5300,33.4288,4.8107,6.9488,3382,30,162702,50,0.9995,0.9912,0.9854,0.9883
Areal,Grid_300,Random,5,8,476,1397,8.5700,34.0730,4.8333,7.0497,3384,44,162688,48,0.9994,0.9872,0.9860,0.9866
Areal,Grid_500,Center,5,8,477,1397,8.7150,34.1446,4.9151,6.9469,3387,99,162633,45,0.9991,0.9716,0.9869,0.9792
Areal,Grid_500,Random,5,8,476,1397,8.6325,34.0730,4.8685,6.9986,3360,93,162639,72,0.9990,0.9731,0.9790,0.9760
N/A,N/A,Deletion,5,9,469,1397,8.5100,33.5719,4.7994,6.9950,3331,73,162659,101,0.9990,0.9786,0.9706,0.9745
Linear,Street,Center,5,9,475,1397,8.4175,34.0014,4.7473,7.1623,3274,93,162639,158,0.9985,0.9724,0.9540,0.9631
Linear,Street,Random,5,9,470,1397,8.5300,33.6435,4.8107,6.9934,3342,70,162662,90,0.9990,0.9795,0.9738,0.9766
Areal,Tract,Center,5,9,466,1397,8.3875,33.3572,4.7304,7.0517,3281,74,162658,151,0.9986,0.9779,0.9560,0.9668
Areal,Tract,Random,5,9,466,1397,8.4175,33.3572,4.7473,7.0266,3305,62,162670,127,0.9989,0.9816,0.9630,0.9722
Areal,Neighborhood,Center,5,9,453,1397,8.1950,32.4266,4.6218,7.0160,3130,148,162584,302,0.9973,0.9549,0.9120,0.9329
Areal,Neighborhood,Random,5,9,469,1397,8.6050,33.5719,4.8530,6.9177,3312,130,162602,120,0.9985,0.9622,0.9650,0.9636
Areal,Grid_100,Center,5,9,475,1397,8.5475,34.0014,4.8206,7.0534,3413,6,162726,19,0.9998,0.9982,0.9945,0.9964
Areal,Grid_100,Random,5,9,476,1397,8.5575,34.0730,4.8262,7.0600,3412,11,162721,20,0.9998,0.9968,0.9942,0.9955
Areal,Grid_300,Center,5,9,476,1397,8.5675,34.0730,4.8319,7.0517,3388,39,162693,44,0.9995,0.9886,0.9872,0.9879
Areal,Grid_300,Random,5,9,476,1397,8.5975,34.0730,4.8488,7.0271,3381,58,162674,51,0.9993,0.9831,0.9851,0.9841
Areal,Grid_500,Center,5,9,482,1397,8.7125,34.5025,4.9137,7.0218,3378,107,162625,54,0.9990,0.9693,0.9843,0.9767
Areal,Grid_500,Random,5,9,482,1397,8.7000,34.5025,4.9066,7.0319,3357,123,162609,75,0.9988,0.9647,0.9781,0.9714
N/A,N/A,Deletion,5,10,480,1397,8.5125,34.3593,4.8009,7.1569,3330,75,162657,102,0.9989,0.9780,0.9703,0.9741
Linear,Street,Center,5,10,468,1397,8.5075,33.5004,4.7980,6.9821,3304,99,162633,128,0.9986,0.9709,0.9627,0.9668
Linear,Street,Random,5,10,475,1397,8.5700,34.0014,4.8333,7.0348,3331,97,162635,101,0.9988,0.9717,0.9706,0.9711
Areal,Tract,Center,5,10,458,1397,8.4875,32.7845,4.7868,6.8490,3327,68,162664,105,0.9990,0.9800,0.9694,0.9747
Areal,Tract,Random,5,10,460,1397,8.4650,32.9277,4.7741,6.8972,3323,63,162669,109,0.9990,0.9814,0.9682,0.9748
Areal,Neighborhood,Center,5,10,467,1397,8.4150,33.4288,4.7459,7.0438,3187,179,162553,245,0.9974,0.9468,0.9286,0.9376
Areal,Neighborhood,Random,5,10,468,1397,8.6700,33.5004,4.8897,6.8512,3320,148,162584,112,0.9984,0.9573,0.9674,0.9623
Areal,Grid_100,Center,5,10,476,1397,8.5950,34.0730,4.8474,7.0292,3423,15,162717,9,0.9999,0.9956,0.9974,0.9965
Areal,Grid_100,Random,5,10,476,1397,8.5650,34.0730,4.8305,7.0538,3411,15,162717,21,0.9998,0.9956,0.9939,0.9948
Areal,Grid_300,Center,5,10,468,1397,8.5775,33.5004,4.8375,6.9251,3393,38,162694,39,0.9995,0.9889,0.9886,0.9888
Areal,Grid_300,Random,5,10,463,1397,8.5500,33.1424,4.8220,6.8732,3377,43,162689,55,0.9994,0.9874,0.9840,0.9857
Areal,Grid_500,Center,5,10,462,1397,8.6100,33.0709,4.8558,6.8105,3376,68,162664,56,0.9993,0.9803,0.9837,0.9820
Areal,Grid_500,Random,5,10,472,1397,8.6475,33.7867,4.8770,6.9278,3373,86,162646,59,0.9991,0.9751,0.9828,0.9790
N/A,N/A,Deletion,5,11,478,1397,8.6425,34.2162,4.8742,7.0199,3371,86,162646,61,0.9991,0.9751,0.9822,0.9787
Linear,Street,Center,5,11,481,1397,8.7500,34.4309,4.9348,6.9772,3358,142,162590,74,0.9987,0.9594,0.9784,0.9688
Linear,Street,Random,5,11,481,1397,8.7625,34.4309,4.9419,6.9672,3365,140,162592,67,0.9988,0.9601,0.9805,0.9702
Areal,Tract,Center,5,11,459,1397,8.5800,32.8561,4.8389,6.7900,3362,70,162662,70,0.9992,0.9796,0.9796,0.9796
Areal,Tract,Random,5,11,461,1397,8.6475,32.9993,4.8770,6.7663,3357,102,162630,75,0.9989,0.9705,0.9781,0.9743
Areal,Neighborhood,Center,5,11,455,1397,8.3050,32.5698,4.6838,6.9537,3222,100,162632,210,0.9981,0.9699,0.9388,0.9541
Areal,Neighborhood,Random,5,11,479,1397,8.8250,34.2878,4.9771,6.8891,3363,167,162565,69,0.9986,0.9527,0.9799,0.9661
Areal,Grid_100,Center,5,11,475,1397,8.5825,34.0014,4.8403,7.0246,3421,12,162720,11,0.9999,0.9965,0.9968,0.9966
Areal,Grid_100,Random,5,11,469,1397,8.5725,33.5719,4.8347,6.9440,3414,15,162717,18,0.9998,0.9956,0.9948,0.9952
Areal,Grid_300,Center,5,11,468,1397,8.5675,33.5004,4.8319,6.9332,3399,28,162704,33,0.9996,0.9918,0.9904,0.9911
Areal,Grid_300,Random,5,11,466,1397,8.5375,33.3572,4.8150,6.9278,3390,25,162707,42,0.9996,0.9927,0.9878,0.9902
Areal,Grid_500,Center,5,11,478,1397,8.6450,34.2162,4.8756,7.0179,3388,70,162662,44,0.9993,0.9798,0.9872,0.9835
Areal,Grid_500,Random,5,11,467,1397,8.6725,33.4288,4.8911,6.8346,3387,82,162650,45,0.9992,0.9764,0.9869,0.9816
N/A,N/A,Deletion,5,12,477,1397,8.6950,34.1446,4.9038,6.9629,3381,97,162635,51,0.9991,0.9721,0.9851,0.9786
Linear,Street,Center,5,12,469,1397,8.6575,33.5719,4.8826,6.8758,3347,116,162616,85,0.9988,0.9665,0.9752,0.9708
Linear,Street,Random,5,12,467,1397,8.6000,33.4288,4.8502,6.8922,3358,82,162650,74,0.9991,0.9762,0.9784,0.9773
Areal,Tract,Center,5,12,455,1397,8.6400,32.5698,4.8728,6.6840,3364,92,162640,68,0.9990,0.9734,0.9802,0.9768
Areal,Tract,Random,5,12,463,1397,8.6375,33.1424,4.8714,6.8035,3371,84,162648,61,0.9991,0.9757,0.9822,0.9789
Areal,Neighborhood,Center,5,12,465,1397,8.4375,33.2856,4.7586,6.9949,3242,133,162599,190,0.9981,0.9606,0.9446,0.9525
Areal,Neighborhood,Random,5,12,460,1397,8.6575,32.9277,4.8826,6.7438,3350,113,162619,82,0.9988,0.9674,0.9761,0.9717
Areal,Grid_100,Center,5,12,475,1397,8.5825,34.0014,4.8403,7.0246,3425,8,162724,7,0.9999,0.9977,0.9980,0.9978
Areal,Grid_100,Random,5,12,475,1397,8.5675,34.0014,4.8319,7.0369,3419,8,162724,13,0.9999,0.9977,0.9962,0.9969
Areal,Grid_300,Center,5,12,468,1397,8.6050,33.5004,4.8530,6.9030,3394,48,162684,38,0.9995,0.9861,0.9889,0.9875
Areal,Grid_300,Random,5,12,471,1397,8.6650,33.7151,4.8869,6.8991,3403,63,162669,29,0.9994,0.9818,0.9916,0.9867
Areal,Grid_500,Center,5,12,468,1397,8.6325,33.5004,4.8685,6.8810,3391,62,162670,41,0.9994,0.9820,0.9881,0.9850
Areal,Grid_500,Random,5,12,467,1397,8.6450,33.4288,4.8756,6.8564,3380,78,162654,52,0.9992,0.9774,0.9848,0.9811
N/A,N/A,Deletion,5,13,469,1397,8.6100,33.5719,4.8558,6.9137,3367,77,162655,65,0.9991,0.9776,0.9811,0.9793
Linear,Street,Center,5,13,473,1397,8.6775,33.8583,4.8939,6.9184,3342,129,162603,90,0.9987,0.9628,0.9738,0.9683
Linear,Street,Random,5,13,476,1397,8.7525,34.0730,4.9362,6.9027,3360,141,162591,72,0.9987,0.9597,0.9790,0.9693
Areal,Tract,Center,5,13,465,1397,8.6175,33.2856,4.8601,6.8488,3345,102,162630,87,0.9989,0.9704,0.9747,0.9725
Areal,Tract,Random,5,13,469,1397,8.7525,33.5719,4.9362,6.8012,3368,133,162599,64,0.9988,0.9620,0.9814,0.9716
Areal,Neighborhood,Center,5,13,462,1397,8.4950,33.0709,4.7910,6.9027,3229,169,162563,203,0.9978,0.9503,0.9409,0.9455
Areal,Neighborhood,Random,5,13,468,1397,8.7200,33.5004,4.9179,6.8119,3361,127,162605,71,0.9988,0.9636,0.9793,0.9714
Areal,Grid_100,Center,5,13,475,1397,8.6100,34.0014,4.8558,7.0022,3422,22,162710,10,0.9998,0.9936,0.9971,0.9953
Areal,Grid_100,Random,5,13,474,1397,8.6075,33.9298,4.8544,6.9895,3420,23,162709,12,0.9998,0.9933,0.9965,0.9949
Areal,Grid_300,Center,5,13,469,1397,8.6375,33.5719,4.8714,6.8917,3400,55,162677,32,0.9995,0.9841,0.9907,0.9874
Areal,Grid_300,Random,5,13,468,1397,8.6200,33.5004,4.8615,6.8910,3391,57,162675,41,0.9994,0.9835,0.9881,0.9858
Areal,Grid_500,Center,5,13,475,1397,8.6900,34.0014,4.9010,6.9377,3398,78,162654,34,0.9993,0.9776,0.9901,0.9838
Areal,Grid_500,Random,5,13,472,1397,8.7375,33.7867,4.9278,6.8564,3396,99,162633,36,0.9992,0.9717,0.9895,0.9805
N/A,N/A,Deletion,5,14,464,1397,8.6450,33.2140,4.8756,6.8123,3364,94,162638,68,0.9990,0.9728,0.9802,0.9765
Linear,Street,Center,5,14,474,1397,8.6550,33.9298,4.8812,6.9511,3336,126,162606,96,0.9987,0.9636,0.9720,0.9678
Linear,Street,Random,5,14,481,1397,8.7125,34.4309,4.9137,7.0072,3379,106,162626,53,0.9990,0.9696,0.9846,0.9770
Areal,Tract,Center,5,14,469,1397,8.6300,33.5719,4.8671,6.8977,3350,102,162630,82,0.9989,0.9705,0.9761,0.9733
Areal,Tract,Random,5,14,465,1397,8.6750,33.2856,4.8925,6.8034,3348,122,162610,84,0.9988,0.9648,0.9755,0.9702
Areal,Neighborhood,Center,5,14,460,1397,8.3250,32.9277,4.6951,7.0132,3191,139,162593,241,0.9977,0.9583,0.9298,0.9438
Areal,Neighborhood,Random,5,14,458,1397,8.5800,32.7845,4.8389,6.7752,3341,91,162641,91,0.9989,0.9735,0.9735,0.9735
Areal,Grid_100,Center,5,14,475,1397,8.5800,34.0014,4.8389,7.0266,3421,11,162721,11,0.9999,0.9968,0.9968,0.9968
Areal,Grid_100,Random,5,14,475,1397,8.5725,34.0014,4.8347,7.0328,3414,15,162717,18,0.9998,0.9956,0.9948,0.9952
Areal,Grid_300,Center,5,14,470,1397,8.5900,33.6435,4.8446,6.9446,3393,43,162689,39,0.9995,0.9875,0.9886,0.9881
Areal,Grid_300,Random,5,14,467,1397,8.5950,33.4288,4.8474,6.8962,3381,57,162675,51,0.9994,0.9834,0.9851,0.9843
Areal,Grid_500,Center,5,14,469,1397,8.6550,33.5719,4.8812,6.8778,3389,73,162659,43,0.9993,0.9789,0.9875,0.9832
Areal,Grid_500,Random,5,14,472,1397,8.6900,33.7867,4.9010,6.8939,3380,96,162636,52,0.9991,0.9724,0.9848,0.9786
N/A,N/A,Deletion,5,15,468,1397,8.6025,33.5004,4.8516,6.9050,3366,75,162657,66,0.9992,0.9782,0.9808,0.9795
Linear,Street,Center,5,15,472,1397,8.5575,33.7867,4.8262,7.0006,3306,117,162615,126,0.9985,0.9658,0.9633,0.9646
Linear,Street,Random,5,15,474,1397,8.6575,33.9298,4.8826,6.9491,3359,104,162628,73,0.9989,0.9700,0.9787,0.9743
Areal,Tract,Center,5,15,457,1397,8.5500,32.7130,4.8220,6.7841,3329,91,162641,103,0.9988,0.9734,0.9700,0.9717
Areal,Tract,Random,5,15,467,1397,8.6800,33.4288,4.8953,6.8287,3366,106,162626,66,0.9990,0.9695,0.9808,0.9751
Areal,Neighborhood,Center,5,15,457,1397,8.3600,32.7130,4.7149,6.9383,3186,158,162574,246,0.9976,0.9528,0.9283,0.9404
Areal,Neighborhood,Random,5,15,465,1397,8.5400,33.2856,4.8164,6.9109,3337,79,162653,95,0.9990,0.9769,0.9723,0.9746
Areal,Grid_100,Center,5,15,475,1397,8.5750,34.0014,4.8361,7.0307,3418,12,162720,14,0.9998,0.9965,0.9959,0.9962
Areal,Grid_100,Random,5,15,470,1397,8.5825,33.6435,4.8403,6.9507,3414,19,162713,18,0.9998,0.9945,0.9948,0.9946
Areal,Grid_300,Center,5,15,469,1397,8.5825,33.5719,4.8403,6.9359,3388,45,162687,44,0.9995,0.9869,0.9872,0.9870
Areal,Grid_300,Random,5,15,475,1397,8.6125,34.0014,4.8573,7.0001,3393,52,162680,39,0.9995,0.9849,0.9886,0.9868
