Experiment_Type,Scale,Type,Error_Percentage,Trial,Hit_Count,Total_Points,Predicted_Area_km2,Hit_Rate_Percent,Area_Percent,PAI,TP,FP,TN,FN,Accuracy,Precision,Recall,F1_Score
N/A,N/A,Deletion,5,1,472,1397,8.5325,33.7867,4.8121,7.0211,3359,54,162678,73,0.9992,0.9842,0.9787,0.9814
Linear,Street,Center,5,1,476,1397,8.5950,34.0730,4.8474,7.0292,3347,91,162641,85,0.9989,0.9735,0.9752,0.9744
Linear,Street,Random,5,1,476,1397,8.5800,34.0730,4.8389,7.0414,3362,70,162662,70,0.9992,0.9796,0.9796,0.9796
Areal,Tract,Center,5,1,465,1397,8.5275,33.2856,4.8093,6.9211,3353,58,162674,79,0.9992,0.9830,0.9770,0.9800
Areal,Tract,Random,5,1,475,1397,8.6750,34.0014,4.8925,6.9497,3360,110,162622,72,0.9989,0.9683,0.9790,0.9736
Areal,Neighborhood,Center,5,1,458,1397,8.2575,32.7845,4.6570,7.0398,3203,100,162632,229,0.9980,0.9697,0.9333,0.9512
Areal,Neighborhood,Random,5,1,469,1397,8.5575,33.5719,4.8262,6.9561,3330,93,162639,102,0.9988,0.9728,0.9703,0.9716
Areal,Grid_100,Center,5,1,475,1397,8.5825,34.0014,4.8403,7.0246,3421,12,162720,11,0.9999,0.9965,0.9968,0.9966
Areal,Grid_100,Random,5,1,476,1397,8.5975,34.0730,4.8488,7.0271,3419,20,162712,13,0.9998,0.9942,0.9962,0.9952
Areal,Grid_300,Center,5,1,468,1397,8.5700,33.5004,4.8333,6.9312,3396,32,162700,36,0.9996,0.9907,0.9895,0.9901
Areal,Grid_300,Random,5,1,464,1397,8.5800,33.2140,4.8389,6.8639,3389,43,162689,43,0.9995,0.9875,0.9875,0.9875
Areal,Grid_500,Center,5,1,478,1397,8.6400,34.2162,4.8728,7.0219,3384,72,162660,48,0.9993,0.9792,0.9860,0.9826
Areal,Grid_500,Random,5,1,474,1397,8.6200,33.9298,4.8615,6.9793,3364,84,162648,68,0.9991,0.9756,0.9802,0.9779
