Group,Scale,Type,Error_Percentage,PAI,F1_Score
Group_4,Grid_100,Baseline,0,9.5841,1
Group_4,Grid_100,Centroid,100,9.3404,0.8751
Group_4,Grid_100,Random,100,9.2522,0.8692
Group_4,Grid_300,Baseline,0,9.5841,1
Group_4,Grid_300,Centroid,100,8.9439,0.6904
Group_4,Grid_300,Random,100,7.811,0.687
Group_4,Grid_500,Baseline,0,9.5841,1
Group_4,Grid_500,Centroid,100,6.2819,0.4143
Group_4,Grid_500,Random,100,6.3422,0.5625
Group_4,Neighborhood,Baseline,0,9.5841,1
Group_4,Neighborhood,Centroid,100,2.5826,0.1169
Group_4,Neighborhood,Random,100,3.9579,0.3654
Group_4,Street,Baseline,0,9.5841,1
Group_4,Street,Centroid,100,6.5868,0.3234
Group_4,Street,Random,100,6.7174,0.5414
Group_4,Tract,Baseline,0,9.5841,1
Group_4,Tract,Centroid,100,3.7702,0.2466
Group_4,Tract,Random,100,5.4063,0.4569
Group_5,Grid_100,Baseline,0,9.3926,1
Group_5,Grid_100,Centroid,100,9.2238,0.8838
Group_5,Grid_100,Random,100,9.2457,0.8821
Group_5,Grid_300,Baseline,0,9.3926,1
Group_5,Grid_300,Centroid,100,9.1515,0.7079
Group_5,Grid_300,Random,100,7.9413,0.6986
Group_5,Grid_500,Baseline,0,9.3926,1
Group_5,Grid_500,Centroid,100,5.8479,0.4172
Group_5,Grid_500,Random,100,6.0627,0.561
Group_5,Neighborhood,Baseline,0,9.3926,1
Group_5,Neighborhood,Centroid,100,2.9615,0.1016
Group_5,Neighborhood,Random,100,3.9175,0.3294
Group_5,Street,Baseline,0,9.3926,1
Group_5,Street,Centroid,100,6.173,0.3143
Group_5,Street,Random,100,6.5954,0.5492
Group_5,Tract,Baseline,0,9.3926,1
Group_5,Tract,Centroid,100,3.923,0.2244
Group_5,Tract,Random,100,5.5664,0.4663
Group_6,Grid_100,Baseline,0,9.4737,1
Group_6,Grid_100,Centroid,100,9.7156,0.8862
