Group,Scale,Type,Error_Percentage,PAI_mean,PAI_std,F1_Score_mean,F1_Score_std,Scale2
Group_12,Tract,Deletion,50,10.5951,0.4147,0.8193,0.0169,Tract
Group_12,Tract,Random,5,10.7682,0.2055,0.9578,0.0054,Tract
Group_12,Tract,Random,10,10.747,0.263,0.93,0.0063,Tract
Group_12,Tract,Random,15,10.6882,0.288,0.9034,0.0089,Tract
Group_12,Tract,Random,20,10.5601,0.352,0.8812,0.0093,Tract
Group_12,Tract,Random,25,10.4426,0.3476,0.8578,0.0107,Tract
Group_12,Tract,Random,30,10.2419,0.3319,0.8325,0.011,Tract
Group_12,Tract,Random,35,10.2489,0.4075,0.8101,0.0128,Tract
Group_12,Tract,Random,40,10.0135,0.3957,0.7843,0.014,Tract
Group_12,Tract,Random,45,9.8935,0.4099,0.7597,0.013,Tract
Group_12,Tract,Random,50,9.7277,0.3902,0.7358,0.0169,Tract
Group_13,G_100,Centroid,5,10.9469,0.0907,0.9911,0.0015,Grid_100
Group_13,G_100,Centroid,10,10.9776,0.1176,0.9841,0.0017,Grid_100
Group_13,G_100,Centroid,15,11.0188,0.1161,0.9778,0.0021,Grid_100
Group_13,G_100,Centroid,20,11.0257,0.1221,0.9721,0.0023,Grid_100
Group_13,G_100,Centroid,25,11.0318,0.1445,0.9664,0.0022,Grid_100
Group_13,G_100,Centroid,30,11.0342,0.1328,0.9612,0.0029,Grid_100
Group_13,G_100,Centroid,35,11.0303,0.1484,0.9558,0.0026,Grid_100
Group_13,G_100,Centroid,40,11.0533,0.1502,0.9506,0.003,Grid_100
Group_13,G_100,Centroid,45,11.0758,0.153,0.9457,0.0027,Grid_100
Group_13,G_100,Centroid,50,11.0812,0.1447,0.9401,0.0032,Grid_100
Group_13,G_100,Deletion,5,11.2883,0.2209,0.953,0.0045,Grid_100
Group_13,G_100,Deletion,10,11.2047,0.2453,0.9309,0.0056,Grid_100
Group_13,G_100,Deletion,15,11.1352,0.2697,0.9165,0.0075,Grid_100
Group_13,G_100,Deletion,20,11.0467,0.2862,0.9,0.0094,Grid_100
Group_13,G_100,Deletion,25,10.9556,0.3106,0.8835,0.009,Grid_100
Group_13,G_100,Deletion,30,11.0012,0.3373,0.8702,0.012,Grid_100
Group_13,G_100,Deletion,35,10.9412,0.4456,0.8537,0.0124,Grid_100
Group_13,G_100,Deletion,40,10.7641,0.489,0.8371,0.0155,Grid_100
Group_13,G_100,Deletion,45,10.6732,0.416,0.8228,0.0142,Grid_100
Group_13,G_100,Deletion,50,10.6571,0.4601,0.8034,0.0179,Grid_100
Group_13,G_100,Random,5,10.9594,0.1054,0.9887,0.002,Grid_100
Group_13,G_100,Random,10,11.0234,0.1661,0.9801,0.0024,Grid_100
Group_13,G_100,Random,15,11.0414,0.1544,0.9726,0.0025,Grid_100
Group_13,G_100,Random,20,11.0628,0.1655,0.966,0.003,Grid_100
Group_13,G_100,Random,25,11.0716,0.1562,0.9597,0.0029,Grid_100
Group_13,G_100,Random,30,11.0796,0.1822,0.9543,0.0037,Grid_100
Group_13,G_100,Random,35,11.0534,0.162,0.9474,0.0042,Grid_100
Group_13,G_100,Random,40,11.0698,0.1848,0.9421,0.004,Grid_100
Group_13,G_100,Random,45,11.0635,0.1837,0.9371,0.0037,Grid_100
Group_13,G_100,Random,50,11.0495,0.1652,0.931,0.004,Grid_100
Group_13,G_300,Centroid,5,11.068,0.1408,0.9757,0.0031,Grid_300
Group_13,G_300,Centroid,10,11.097,0.1653,0.9582,0.0038,Grid_300
Group_13,G_300,Centroid,15,11.1258,0.1779,0.9429,0.0046,Grid_300
Group_13,G_300,Centroid,20,11.086,0.1761,0.928,0.0054,Grid_300
Group_13,G_300,Centroid,25,11.0522,0.1984,0.9139,0.0054,Grid_300
Group_13,G_300,Centroid,30,10.9631,0.1861,0.9004,0.0057,Grid_300
Group_13,G_300,Centroid,35,10.9302,0.2148,0.8879,0.0054,Grid_300
Group_13,G_300,Centroid,40,10.8838,0.2027,0.8737,0.007,Grid_300
Group_13,G_300,Centroid,45,10.8699,0.2231,0.8622,0.0067,Grid_300
Group_13,G_300,Centroid,50,10.8242,0.2021,0.8493,0.007,Grid_300
Group_13,G_300,Deletion,5,11.2883,0.2209,0.953,0.0045,Grid_300
Group_13,G_300,Deletion,10,11.2047,0.2453,0.9309,0.0056,Grid_300
Group_13,G_300,Deletion,15,11.1352,0.2697,0.9165,0.0075,Grid_300
Group_13,G_300,Deletion,20,11.0467,0.2862,0.9,0.0094,Grid_300
Group_13,G_300,Deletion,25,10.9556,0.3106,0.8835,0.009,Grid_300
Group_13,G_300,Deletion,30,11.0012,0.3373,0.8702,0.012,Grid_300
Group_13,G_300,Deletion,35,10.9412,0.4456,0.8537,0.0124,Grid_300
Group_13,G_300,Deletion,40,10.7641,0.489,0.8371,0.0155,Grid_300
Group_13,G_300,Deletion,45,10.6732,0.416,0.8228,0.0142,Grid_300
Group_13,G_300,Deletion,50,10.6571,0.4601,0.8034,0.0179,Grid_300
Group_13,G_300,Random,5,11.0772,0.1543,0.9686,0.0038,Grid_300
Group_13,G_300,Random,10,11.1087,0.1752,0.948,0.0049,Grid_300
Group_13,G_300,Random,15,11.0318,0.1934,0.9315,0.0061,Grid_300
Group_13,G_300,Random,20,11.0194,0.2,0.9159,0.0062,Grid_300
Group_13,G_300,Random,25,10.9387,0.251,0.9018,0.0066,Grid_300
Group_13,G_300,Random,30,10.8846,0.2541,0.8896,0.0069,Grid_300
Group_13,G_300,Random,35,10.8097,0.2631,0.8762,0.008,Grid_300
Group_13,G_300,Random,40,10.6917,0.2957,0.8629,0.0091,Grid_300
Group_13,G_300,Random,45,10.6101,0.3339,0.8514,0.0088,Grid_300
Group_13,G_300,Random,50,10.5513,0.3065,0.8393,0.0102,Grid_300
Group_13,G_500,Centroid,5,10.9694,0.1636,0.9546,0.0051,Grid_500
Group_13,G_500,Centroid,10,10.7559,0.1847,0.9193,0.0065,Grid_500
Group_13,G_500,Centroid,15,10.6496,0.2277,0.8873,0.0079,Grid_500
Group_13,G_500,Centroid,20,10.4755,0.2395,0.8559,0.0092,Grid_500
Group_13,G_500,Centroid,25,10.4313,0.2571,0.825,0.0092,Grid_500
Group_13,G_500,Centroid,30,10.2863,0.2264,0.7958,0.0103,Grid_500
Group_13,G_500,Centroid,35,10.1471,0.283,0.7622,0.0104,Grid_500
Group_13,G_500,Centroid,40,10.001,0.294,0.7301,0.0121,Grid_500
Group_13,G_500,Centroid,45,9.9264,0.2776,0.7005,0.0097,Grid_500
Group_13,G_500,Centroid,50,9.7271,0.3114,0.6675,0.0109,Grid_500
Group_13,G_500,Deletion,5,11.2883,0.2209,0.953,0.0045,Grid_500
Group_13,G_500,Deletion,10,11.2047,0.2453,0.9309,0.0056,Grid_500
Group_13,G_500,Deletion,15,11.1352,0.2697,0.9165,0.0075,Grid_500
Group_13,G_500,Deletion,20,11.0467,0.2862,0.9,0.0094,Grid_500
Group_13,G_500,Deletion,25,10.9556,0.3106,0.8835,0.009,Grid_500
Group_13,G_500,Deletion,30,11.0012,0.3373,0.8702,0.012,Grid_500
Group_13,G_500,Deletion,35,10.9412,0.4456,0.8537,0.0124,Grid_500
Group_13,G_500,Deletion,40,10.7641,0.489,0.8371,0.0155,Grid_500
Group_13,G_500,Deletion,45,10.6732,0.416,0.8228,0.0142,Grid_500
Group_13,G_500,Deletion,50,10.6571,0.4601,0.8034,0.0179,Grid_500
Group_13,G_500,Random,5,11.0392,0.2018,0.9547,0.0055,Grid_500
Group_13,G_500,Random,10,10.9242,0.2051,0.9263,0.0062,Grid_500
Group_13,G_500,Random,15,10.7899,0.261,0.9022,0.0086,Grid_500
Group_13,G_500,Random,20,10.6,0.2573,0.8786,0.0088,Grid_500
Group_13,G_500,Random,25,10.4574,0.2724,0.8584,0.008,Grid_500
Group_13,G_500,Random,30,10.263,0.2982,0.8368,0.0116,Grid_500
Group_13,G_500,Random,35,10.118,0.3226,0.8184,0.0115,Grid_500
Group_13,G_500,Random,40,9.7916,0.3045,0.7958,0.0129,Grid_500
Group_13,G_500,Random,45,9.5969,0.3226,0.7794,0.0135,Grid_500
Group_13,G_500,Random,50,9.4855,0.3033,0.757,0.0136,Grid_500
Group_13,N_hood,Centroid,5,10.7127,0.1743,0.9271,0.0075,Neighborhood
Group_13,N_hood,Centroid,10,10.3315,0.2618,0.8479,0.0103,Neighborhood
Group_13,N_hood,Centroid,15,10.1858,0.3223,0.7574,0.0121,Neighborhood
Group_13,N_hood,Centroid,20,9.8345,0.3277,0.6633,0.0137,Neighborhood
Group_13,N_hood,Centroid,25,9.4197,0.4847,0.5639,0.013,Neighborhood
Group_13,N_hood,Centroid,30,8.9799,0.4563,0.47,0.0154,Neighborhood
Group_13,N_hood,Centroid,35,8.7472,0.5234,0.3772,0.0158,Neighborhood
Group_13,N_hood,Centroid,40,8.5005,0.3707,0.299,0.0151,Neighborhood
Group_13,N_hood,Centroid,45,8.0801,0.5599,0.2315,0.0141,Neighborhood
Group_13,N_hood,Centroid,50,7.3362,0.5792,0.1803,0.0121,Neighborhood
Group_13,N_hood,Deletion,5,11.2898,0.2213,0.9531,0.0045,Neighborhood
Group_13,N_hood,Deletion,10,11.2054,0.2447,0.931,0.0056,Neighborhood
Group_13,N_hood,Deletion,15,11.1363,0.2696,0.9165,0.0075,Neighborhood
Group_13,N_hood,Deletion,20,11.0479,0.2863,0.9,0.0093,Neighborhood
Group_13,N_hood,Deletion,25,10.9559,0.3117,0.8835,0.009,Neighborhood
Group_13,N_hood,Deletion,30,11.0013,0.336,0.8702,0.012,Neighborhood
Group_13,N_hood,Deletion,35,10.9426,0.4454,0.8537,0.0124,Neighborhood
Group_13,N_hood,Deletion,40,10.7661,0.4895,0.8371,0.0155,Neighborhood
Group_13,N_hood,Deletion,45,10.6749,0.4158,0.8228,0.0141,Neighborhood
Group_13,N_hood,Deletion,50,10.6583,0.4596,0.8035,0.018,Neighborhood
Group_13,N_hood,Random,5,11.0659,0.2286,0.9483,0.0055,Neighborhood
Group_13,N_hood,Random,10,11.0867,0.2565,0.9174,0.007,Neighborhood
Group_13,N_hood,Random,15,10.9318,0.2951,0.8935,0.0085,Neighborhood
Group_13,N_hood,Random,20,10.8297,0.3427,0.8694,0.01,Neighborhood
Group_13,N_hood,Random,25,10.6383,0.3779,0.846,0.0104,Neighborhood
Group_13,N_hood,Random,30,10.3792,0.3961,0.8225,0.0123,Neighborhood
Group_13,N_hood,Random,35,10.1724,0.4348,0.7917,0.0164,Neighborhood
Group_13,N_hood,Random,40,9.7477,0.4439,0.7643,0.0175,Neighborhood
Group_13,N_hood,Random,45,9.4815,0.4542,0.733,0.0179,Neighborhood
Group_13,N_hood,Random,50,9.0505,0.4521,0.7008,0.0181,Neighborhood
Group_13,Street,Centroid,5,10.8116,0.1858,0.9506,0.0054,Street
Group_13,Street,Centroid,10,10.5962,0.2509,0.913,0.0081,Street
Group_13,Street,Centroid,15,10.3353,0.2606,0.8762,0.0091,Street
Group_13,Street,Centroid,20,10.0772,0.2615,0.8418,0.0125,Street
Group_13,Street,Centroid,25,9.7366,0.2719,0.804,0.0119,Street
Group_13,Street,Centroid,30,9.4862,0.3169,0.7687,0.0125,Street
Group_13,Street,Centroid,35,9.2588,0.3695,0.731,0.0151,Street
Group_13,Street,Centroid,40,9.1217,0.3919,0.6959,0.0155,Street
Group_13,Street,Centroid,45,8.9415,0.3823,0.6585,0.014,Street
Group_13,Street,Centroid,50,8.7415,0.3703,0.6148,0.0165,Street
Group_13,Street,Deletion,5,11.2898,0.2213,0.9531,0.0045,Street
Group_13,Street,Deletion,10,11.2054,0.2447,0.931,0.0056,Street
Group_13,Street,Deletion,15,11.1363,0.2696,0.9165,0.0075,Street
Group_13,Street,Deletion,20,11.0479,0.2863,0.9,0.0093,Street
Group_13,Street,Deletion,25,10.9559,0.3117,0.8835,0.009,Street
Group_13,Street,Deletion,30,11.0013,0.336,0.8702,0.012,Street
Group_13,Street,Deletion,35,10.9426,0.4454,0.8537,0.0124,Street
Group_13,Street,Deletion,40,10.7661,0.4895,0.8371,0.0155,Street
Group_13,Street,Deletion,45,10.6749,0.4158,0.8228,0.0141,Street
Group_13,Street,Deletion,50,10.6583,0.4596,0.8035,0.018,Street
Group_13,Street,Random,5,10.9906,0.1836,0.9537,0.0054,Street
Group_13,Street,Random,10,10.9422,0.2115,0.9247,0.0067,Street
Group_13,Street,Random,15,10.8551,0.2469,0.9031,0.0081,Street
Group_13,Street,Random,20,10.7301,0.2842,0.8826,0.0108,Street
Group_13,Street,Random,25,10.5167,0.3114,0.8629,0.0104,Street
Group_13,Street,Random,30,10.3677,0.3234,0.8439,0.0115,Street
Group_13,Street,Random,35,10.2447,0.3604,0.8224,0.0142,Street
Group_13,Street,Random,40,9.9812,0.3914,0.8059,0.0142,Street
Group_13,Street,Random,45,9.8529,0.3797,0.7861,0.0132,Street
Group_13,Street,Random,50,9.621,0.4299,0.7619,0.0134,Street
Group_13,Tract,Centroid,5,11.0779,0.1909,0.9501,0.0058,Tract
Group_13,Tract,Centroid,10,11.0182,0.2125,0.9098,0.0083,Tract
Group_13,Tract,Centroid,15,10.9543,0.2834,0.8675,0.0106,Tract
Group_13,Tract,Centroid,20,10.7494,0.331,0.8201,0.0125,Tract
Group_13,Tract,Centroid,25,10.3219,0.3334,0.7681,0.0133,Tract
Group_13,Tract,Centroid,30,9.8339,0.4276,0.7159,0.015,Tract
Group_13,Tract,Centroid,35,9.3854,0.4899,0.6587,0.0132,Tract
Group_13,Tract,Centroid,40,8.911,0.5321,0.6048,0.0151,Tract
Group_13,Tract,Centroid,45,8.4907,0.468,0.5542,0.0136,Tract
Group_13,Tract,Centroid,50,7.9374,0.4566,0.5027,0.0147,Tract
Group_13,Tract,Deletion,5,11.2883,0.2209,0.953,0.0045,Tract
Group_13,Tract,Deletion,10,11.2047,0.2453,0.9309,0.0056,Tract
Group_13,Tract,Deletion,15,11.1352,0.2697,0.9165,0.0075,Tract
Group_13,Tract,Deletion,20,11.0467,0.2862,0.9,0.0094,Tract
Group_13,Tract,Deletion,25,10.9556,0.3106,0.8835,0.009,Tract
Group_13,Tract,Deletion,30,11.0012,0.3373,0.8702,0.012,Tract
Group_13,Tract,Deletion,35,10.9412,0.4456,0.8537,0.0124,Tract
Group_13,Tract,Deletion,40,10.7641,0.489,0.8371,0.0155,Tract
Group_13,Tract,Deletion,45,10.6732,0.416,0.8228,0.0142,Tract
Group_13,Tract,Deletion,50,10.6571,0.4601,0.8034,0.0179,Tract
Group_13,Tract,Random,5,11.0495,0.2013,0.951,0.0049,Tract
Group_13,Tract,Random,10,11.0163,0.2543,0.9189,0.0064,Tract
Group_13,Tract,Random,15,10.9426,0.2951,0.8947,0.0075,Tract
Group_13,Tract,Random,20,10.7689,0.3309,0.8703,0.0101,Tract
Group_13,Tract,Random,25,10.5766,0.3456,0.8468,0.0098,Tract
Group_13,Tract,Random,30,10.4044,0.3712,0.8234,0.0121,Tract
Group_13,Tract,Random,35,10.2774,0.3605,0.8008,0.0128,Tract
Group_13,Tract,Random,40,10.0318,0.3979,0.7774,0.0145,Tract
Group_13,Tract,Random,45,9.81,0.4297,0.7543,0.0125,Tract
Group_13,Tract,Random,50,9.5129,0.4551,0.7278,0.0165,Tract
Group_14,G_100,Centroid,5,11.1403,0.0616,0.9913,0.0017,Grid_100
Group_14,G_100,Centroid,10,11.133,0.0769,0.9847,0.0018,Grid_100
Group_14,G_100,Centroid,15,11.1442,0.0838,0.9784,0.0021,Grid_100
Group_14,G_100,Centroid,20,11.1271,0.0834,0.973,0.0022,Grid_100
Group_14,G_100,Centroid,25,11.1353,0.0828,0.9668,0.0025,Grid_100
Group_14,G_100,Centroid,30,11.1539,0.0895,0.9611,0.0026,Grid_100
Group_14,G_100,Centroid,35,11.1519,0.0967,0.9559,0.0026,Grid_100
Group_14,G_100,Centroid,40,11.1725,0.0992,0.9507,0.0028,Grid_100
Group_14,G_100,Centroid,45,11.1725,0.0988,0.945,0.003,Grid_100
Group_14,G_100,Centroid,50,11.1441,0.0871,0.9393,0.0028,Grid_100
Group_14,G_100,Deletion,5,11.2046,0.1733,0.9589,0.0044,Grid_100
Group_14,G_100,Deletion,10,11.2384,0.183,0.9383,0.0051,Grid_100
Group_14,G_100,Deletion,15,11.256,0.2307,0.9224,0.0067,Grid_100
Group_14,G_100,Deletion,20,11.263,0.2775,0.9057,0.0077,Grid_100
Group_14,G_100,Deletion,25,11.2454,0.2656,0.8934,0.0096,Grid_100
Group_14,G_100,Deletion,30,11.2513,0.354,0.8785,0.0112,Grid_100
Group_14,G_100,Deletion,35,11.2214,0.3829,0.8633,0.0115,Grid_100
Group_14,G_100,Deletion,40,11.1665,0.3679,0.8443,0.0122,Grid_100
Group_14,G_100,Deletion,45,11.1361,0.3907,0.8277,0.0143,Grid_100
Group_14,G_100,Deletion,50,11.1525,0.47,0.8114,0.0165,Grid_100
Group_14,G_100,Random,5,11.1599,0.0666,0.9889,0.0021,Grid_100
Group_14,G_100,Random,10,11.1641,0.0852,0.9808,0.0023,Grid_100
Group_14,G_100,Random,15,11.1553,0.0837,0.9737,0.0025,Grid_100
Group_14,G_100,Random,20,11.1586,0.1053,0.9676,0.0028,Grid_100
Group_14,G_100,Random,25,11.1465,0.1037,0.9605,0.003,Grid_100
Group_14,G_100,Random,30,11.1487,0.1165,0.9547,0.0035,Grid_100
Group_14,G_100,Random,35,11.1292,0.1072,0.9492,0.0036,Grid_100
Group_14,G_100,Random,40,11.1236,0.1161,0.9431,0.0038,Grid_100
Group_14,G_100,Random,45,11.1343,0.1273,0.9378,0.0041,Grid_100
Group_14,G_100,Random,50,11.0968,0.1395,0.9315,0.0046,Grid_100
Group_14,G_300,Centroid,5,11.1753,0.1098,0.9756,0.0035,Grid_300
Group_14,G_300,Centroid,10,11.2101,0.1116,0.9592,0.0038,Grid_300
Group_14,G_300,Centroid,15,11.1851,0.1212,0.9441,0.0043,Grid_300
Group_14,G_300,Centroid,20,11.1928,0.1402,0.9311,0.0052,Grid_300
Group_14,G_300,Centroid,25,11.175,0.1362,0.9163,0.006,Grid_300
Group_14,G_300,Centroid,30,11.1653,0.158,0.9042,0.006,Grid_300
Group_14,G_300,Centroid,35,11.1336,0.1582,0.8911,0.0056,Grid_300
Group_14,G_300,Centroid,40,11.1486,0.1476,0.8767,0.0065,Grid_300
Group_14,G_300,Centroid,45,11.1463,0.1725,0.8646,0.0065,Grid_300
Group_14,G_300,Centroid,50,11.181,0.1752,0.8512,0.0066,Grid_300
Group_14,G_300,Deletion,5,11.2046,0.1733,0.9589,0.0044,Grid_300
Group_14,G_300,Deletion,10,11.2384,0.183,0.9383,0.0051,Grid_300
Group_14,G_300,Deletion,15,11.256,0.2307,0.9224,0.0067,Grid_300
Group_14,G_300,Deletion,20,11.263,0.2775,0.9057,0.0077,Grid_300
Group_14,G_300,Deletion,25,11.2454,0.2656,0.8934,0.0096,Grid_300
Group_14,G_300,Deletion,30,11.2513,0.354,0.8785,0.0112,Grid_300
Group_14,G_300,Deletion,35,11.2214,0.3829,0.8633,0.0115,Grid_300
Group_14,G_300,Deletion,40,11.1665,0.3679,0.8443,0.0122,Grid_300
Group_14,G_300,Deletion,45,11.1361,0.3907,0.8277,0.0143,Grid_300
Group_14,G_300,Deletion,50,11.1525,0.47,0.8114,0.0165,Grid_300
Group_14,G_300,Random,5,11.1803,0.1249,0.97,0.0041,Grid_300
Group_14,G_300,Random,10,11.1343,0.1466,0.951,0.0052,Grid_300
Group_14,G_300,Random,15,11.1021,0.1404,0.9341,0.0055,Grid_300
Group_14,G_300,Random,20,11.0773,0.1716,0.9204,0.0058,Grid_300
Group_14,G_300,Random,25,10.9782,0.1788,0.9058,0.0071,Grid_300
Group_14,G_300,Random,30,10.9332,0.1851,0.8933,0.0074,Grid_300
Group_14,G_300,Random,35,10.8739,0.1697,0.8815,0.008,Grid_300
Group_14,G_300,Random,40,10.8381,0.2186,0.8686,0.0089,Grid_300
Group_14,G_300,Random,45,10.7836,0.2213,0.8558,0.009,Grid_300
Group_14,G_300,Random,50,10.7081,0.2273,0.8427,0.0096,Grid_300
Group_14,G_500,Centroid,5,11.1477,0.1288,0.9591,0.0045,Grid_500
Group_14,G_500,Centroid,10,11.0554,0.1582,0.927,0.0052,Grid_500
Group_14,G_500,Centroid,15,10.9171,0.1811,0.896,0.0066,Grid_500
Group_14,G_500,Centroid,20,10.8219,0.1828,0.8662,0.0083,Grid_500
Group_14,G_500,Centroid,25,10.6931,0.2036,0.8333,0.0101,Grid_500
Group_14,G_500,Centroid,30,10.6093,0.2063,0.8029,0.0092,Grid_500
Group_14,G_500,Centroid,35,10.5436,0.2167,0.7734,0.0097,Grid_500
Group_14,G_500,Centroid,40,10.4246,0.2182,0.737,0.0114,Grid_500
Group_14,G_500,Centroid,45,10.37,0.2652,0.7049,0.0101,Grid_500
Group_14,G_500,Centroid,50,10.27,0.2846,0.6725,0.0112,Grid_500
Group_14,G_500,Deletion,5,11.2046,0.1733,0.9589,0.0044,Grid_500
Group_14,G_500,Deletion,10,11.2384,0.183,0.9383,0.0051,Grid_500
Group_14,G_500,Deletion,15,11.256,0.2307,0.9224,0.0067,Grid_500
Group_14,G_500,Deletion,20,11.263,0.2775,0.9057,0.0077,Grid_500
Group_14,G_500,Deletion,25,11.2454,0.2656,0.8934,0.0096,Grid_500
Group_14,G_500,Deletion,30,11.2513,0.354,0.8785,0.0112,Grid_500
Group_14,G_500,Deletion,35,11.2214,0.3829,0.8633,0.0115,Grid_500
Group_14,G_500,Deletion,40,11.1665,0.3679,0.8443,0.0122,Grid_500
Group_14,G_500,Deletion,45,11.1361,0.3907,0.8277,0.0143,Grid_500
Group_14,G_500,Deletion,50,11.1525,0.47,0.8114,0.0165,Grid_500
Group_14,G_500,Random,5,11.1411,0.1427,0.9589,0.0048,Grid_500
Group_14,G_500,Random,10,10.9934,0.1758,0.9322,0.0059,Grid_500
Group_14,G_500,Random,15,10.8346,0.2159,0.9093,0.0067,Grid_500
Group_14,G_500,Random,20,10.7159,0.1968,0.8892,0.0092,Grid_500
Group_14,G_500,Random,25,10.568,0.2333,0.8679,0.0093,Grid_500
Group_14,G_500,Random,30,10.3976,0.2643,0.8482,0.0105,Grid_500
Group_14,G_500,Random,35,10.2405,0.2951,0.8311,0.0116,Grid_500
Group_14,G_500,Random,40,10.0755,0.2886,0.8092,0.0129,Grid_500
Group_14,G_500,Random,45,9.9024,0.3118,0.7874,0.014,Grid_500
Group_14,G_500,Random,50,9.6987,0.3159,0.7662,0.014,Grid_500
Group_14,N_hood,Centroid,5,11.1645,0.1837,0.9318,0.0085,Neighborhood
Group_14,N_hood,Centroid,10,10.9389,0.2252,0.8567,0.0092,Neighborhood
Group_14,N_hood,Centroid,15,10.9183,0.2559,0.7625,0.0111,Neighborhood
Group_14,N_hood,Centroid,20,10.9549,0.3467,0.6619,0.015,Neighborhood
Group_14,N_hood,Centroid,25,11.0223,0.4068,0.5513,0.0143,Neighborhood
Group_14,N_hood,Centroid,30,10.8814,0.4746,0.446,0.0164,Neighborhood
Group_14,N_hood,Centroid,35,10.5928,0.4842,0.3552,0.0135,Neighborhood
Group_14,N_hood,Centroid,40,10.0375,0.5629,0.2696,0.0165,Neighborhood
Group_14,N_hood,Centroid,45,9.1614,0.6246,0.2106,0.0131,Neighborhood
Group_14,N_hood,Centroid,50,7.9268,0.6788,0.1691,0.0097,Neighborhood
Group_14,N_hood,Deletion,5,11.2061,0.1717,0.959,0.0044,Neighborhood
Group_14,N_hood,Deletion,10,11.241,0.1832,0.9383,0.0051,Neighborhood
Group_14,N_hood,Deletion,15,11.2576,0.2324,0.9224,0.0067,Neighborhood
Group_14,N_hood,Deletion,20,11.2642,0.2775,0.9057,0.0077,Neighborhood
Group_14,N_hood,Deletion,25,11.2469,0.2647,0.8935,0.0096,Neighborhood
Group_14,N_hood,Deletion,30,11.2546,0.3528,0.8785,0.0112,Neighborhood
Group_14,N_hood,Deletion,35,11.2217,0.3841,0.8633,0.0115,Neighborhood
Group_14,N_hood,Deletion,40,11.1697,0.3685,0.8443,0.0122,Neighborhood
Group_14,N_hood,Deletion,45,11.1368,0.3936,0.8278,0.0143,Neighborhood
Group_14,N_hood,Deletion,50,11.155,0.4706,0.8114,0.0165,Neighborhood
Group_14,N_hood,Random,5,11.2111,0.1766,0.9535,0.0052,Neighborhood
Group_14,N_hood,Random,10,11.1731,0.1919,0.9259,0.0072,Neighborhood
Group_14,N_hood,Random,15,11.0776,0.2572,0.903,0.0078,Neighborhood
Group_14,N_hood,Random,20,11.0815,0.2954,0.8817,0.0099,Neighborhood
Group_14,N_hood,Random,25,10.9334,0.2908,0.8586,0.0129,Neighborhood
Group_14,N_hood,Random,30,10.7643,0.331,0.8346,0.013,Neighborhood
Group_14,N_hood,Random,35,10.5938,0.3347,0.8094,0.0141,Neighborhood
Group_14,N_hood,Random,40,10.3096,0.368,0.7781,0.0158,Neighborhood
Group_14,N_hood,Random,45,10.0978,0.3631,0.7445,0.017,Neighborhood
Group_14,N_hood,Random,50,9.7451,0.4269,0.7151,0.017,Neighborhood
Group_14,Street,Centroid,5,11.0676,0.1404,0.9555,0.0057,Street
Group_14,Street,Centroid,10,10.8546,0.1666,0.9197,0.0065,Street
Group_14,Street,Centroid,15,10.679,0.186,0.8831,0.0089,Street
Group_14,Street,Centroid,20,10.5235,0.2039,0.8485,0.0105,Street
Group_14,Street,Centroid,25,10.4695,0.2048,0.8131,0.0127,Street
Group_14,Street,Centroid,30,10.3609,0.2745,0.7774,0.012,Street
Group_14,Street,Centroid,35,10.3702,0.2497,0.7391,0.0153,Street
Group_14,Street,Centroid,40,10.3257,0.3538,0.6961,0.0173,Street
Group_14,Street,Centroid,45,10.3483,0.3613,0.6541,0.0165,Street
Group_14,Street,Centroid,50,10.2258,0.3925,0.6122,0.015,Street
Group_14,Street,Deletion,5,11.2061,0.1717,0.959,0.0044,Street
Group_14,Street,Deletion,10,11.241,0.1832,0.9383,0.0051,Street
Group_14,Street,Deletion,15,11.2576,0.2324,0.9224,0.0067,Street
Group_14,Street,Deletion,20,11.2642,0.2775,0.9057,0.0077,Street
Group_14,Street,Deletion,25,11.2469,0.2647,0.8935,0.0096,Street
Group_14,Street,Deletion,30,11.2546,0.3528,0.8785,0.0112,Street
Group_14,Street,Deletion,35,11.2217,0.3841,0.8633,0.0115,Street
Group_14,Street,Deletion,40,11.1697,0.3685,0.8443,0.0122,Street
Group_14,Street,Deletion,45,11.1368,0.3936,0.8278,0.0143,Street
Group_14,Street,Deletion,50,11.155,0.4706,0.8114,0.0165,Street
Group_14,Street,Random,5,11.2378,0.1494,0.958,0.0056,Street
Group_14,Street,Random,10,11.1506,0.1663,0.9333,0.0063,Street
Group_14,Street,Random,15,11.0686,0.2354,0.9111,0.0087,Street
Group_14,Street,Random,20,10.9887,0.2125,0.8925,0.009,Street
Group_14,Street,Random,25,10.862,0.2651,0.8732,0.0105,Street
Group_14,Street,Random,30,10.7089,0.3146,0.853,0.011,Street
Group_14,Street,Random,35,10.5459,0.2927,0.8354,0.0116,Street
Group_14,Street,Random,40,10.4145,0.3337,0.8128,0.0143,Street
Group_14,Street,Random,45,10.3306,0.3386,0.7915,0.0137,Street
Group_14,Street,Random,50,10.1991,0.316,0.7729,0.0136,Street
Group_14,Tract,Centroid,5,11.2809,0.1779,0.9541,0.0055,Tract
Group_14,Tract,Centroid,10,11.2893,0.2162,0.915,0.0077,Tract
Group_14,Tract,Centroid,15,11.1916,0.1882,0.871,0.0096,Tract
Group_14,Tract,Centroid,20,11.0719,0.2471,0.8221,0.0116,Tract
Group_14,Tract,Centroid,25,10.9171,0.2426,0.7666,0.0144,Tract
